num	title	chapter	pdf_page	pages	level
6.5	Time Signature Changes	6	167	2	1
6.6	The Arrangement Loop	6	169	1	1
6.7	Moving and Resizing Clips	6	170	2	1
6.8	Audio Clip Fades and Crossfades	6	172	2	1
6.9	Selecting Clips and Time	6	174	1	1
6.10	Using the Editing Grid	6	175	1	1
6.11	Using the …Time Commands	6	176	1	1
6.12	Splitting Clips	6	176	1	1
6.13	Consolidating Clips	6	177	1	1
6.14	Linked-Track Editing	6	178	1	1
6.14.1	Linking and Unlinking Tracks	6	178	1	2
6.14.2	Editing Linked Tracks	6	179	1	2
6.15	The Mixer in Arrangement View	6	180	2	1
7.1	Session View Clips	7	183	1	1
7.2	Tracks and Scenes	7	184	2	1
7.2.1	Editing Scene Tempo and Time Signature Values	7	186	1	2
7.2.2	Scene View	7	187	2	2
7.3	The Track Status Fields	7	189	1	1
7.4	Setting Up the Session View Grid	7	190	1	1
7.4.1	Select on Launch	7	191	1	2
7.4.2	Removing Clip Stop Buttons	7	191	1	2
7.4.3	Editing Scenes	7	191	1	2
7.5	Recording Sessions into the Arrangement	7	192	3	1
8.1	Clip View Layout	8	196	1	1
8.1.1	Clip Title Bar	8	197	1	2
8.1.2	Clip Panels	8	199	2	2
8.1.3	Editor View Modes	8	201	1	2
8.2	Main Clip Properties Panel	8	202	1	1
8.2.1	Clip and Loop Region Settings	8	203	1	2
8.2.2	Clip Time Signature	8	204	1	2
8.2.3	Clip Groove	8	205	1	2
8.2.4	Clip Scale	8	206	1	2
8.3	Extended Clip Properties	8	207	1	1
8.3.1	Follow Action and Launch Controls	8	208	1	2
8.3.2	MIDI Clip Bank and Program Change Controls	8	208	1	2
8.4	Audio Utilities Panel	8	209	1	1
8.4.1	Warp Controls	8	210	1	2
8.4.2	Reversing Samples	8	211	2	2
8.4.3	Destructive Sample Editing	8	213	1	2
8.4.4	Clip Start and End Fades	8	213	1	2
8.4.5	Clip RAM Mode	8	214	1	2
8.4.6	High Quality Interpolation	8	215	1	2
8.4.7	Clip Gain and Pitch	8	216	1	2
8.5	Pitch and Time Utilities Panel	8	217	1	1
8.5.1	Pitch Tools	8	218	1	2
8.5.2	Time Tools	8	219	1	2
8.6	Transform and Generate Panels	8	220	1	1
8.7	Zooming and Scrolling in the Clip View’s Editor	8	221	1	1
8.8	Playing and Scrubbing Clips	8	222	1	1
8.9	Looping Clips	8	223	2	1
8.10	Clip View Sample Details	8	225	1	1
8.11	Cropping Clips	8	226	1	1
8.12	Replacing and Editing the Sample	8	226	1	1
8.13	Editing Clip Properties for Multiple Clips	8	227	1	1
8.14	Clip Defaults and Update Rate	8	227	2	1
9.1	Tempo	9	229	1	1
9.1.1	Setting the Tempo	9	229	1	2
9.1.2	Tapping the Tempo	9	230	1	2
9.1.3	Nudging the Tempo	9	231	1	2
9.1.4	Clip Tempo Followers and Leaders	9	231	2	2
9.2	Warping	9	233	1	1
9.2.1	Warping Options in Settings	9	234	1	2
9.2.2	Importing Samples	9	235	1	2
9.2.3	Warp Markers	9	235	1	2
9.2.4	Warping Short Samples	9	237	1	2
9.2.5	Auto-Warping Long Samples	9	239	1	2
9.2.6	Manipulating Grooves	9	243	1	2
9.2.7	Quantizing Audio	9	243	1	2
9.3	Warp Modes	9	244	1	1
9.3.1	Beats Mode	9	244	1	2
9.3.2	Tones Mode	9	245	1	2
9.3.3	Texture Mode	9	245	1	2
9.3.4	Re-Pitch Mode	9	246	1	2
9.3.5	Complex and Complex Pro Mode	9	246	1	2
10.1	The MIDI Note Editor Layout	10	247	2	1
10.2	Zooming and Navigating in the MIDI Note Editor	10	249	2	1
10.2.1	Grid Snapping	10	251	1	2
10.2.2	Playback Options	10	251	1	2
10.3	Creating a MIDI Clip	10	252	1	1
10.4	Adding MIDI Notes	10	252	1	1
10.4.1	Draw Mode	10	252	1	2
10.4.2	Previewing Notes	10	253	1	2
10.5	Editing MIDI Notes	10	254	1	1
10.5.1	Non-Destructive Editing	10	254	1	2
10.5.2	Selecting Notes and Timespan	10	254	1	2
10.5.3	Find and Select Notes	10	255	2	2
10.5.4	Moving Notes	10	257	1	2
10.5.5	Changing Note Length	10	257	2	2
10.5.6	MIDI Note Stretch	10	259	1	2
10.5.7	Deactivating Notes	10	259	1	2
10.5.8	Note Operations	10	260	1	2
10.5.9	Pitch and Time Utilities	10	263	1	2
10.5.10	MIDI Tools	10	271	1	2
10.5.11	Quantizing Notes	10	271	1	2
10.5.12	Editing Velocities	10	272	4	2
10.5.13	Editing Probabilities	10	277	1	2
10.6	Folding and Scales	10	279	3	1
10.7	Editing MIDI Clips	10	282	1	1
10.7.1	Cropping MIDI Clips	10	282	1	2
10.7.2	The …Time Commands in the MIDI Note Editor	10	283	1	2
10.7.3	Looping	10	283	1	2
10.8	Multi-Clip Editing	10	284	1	1
10.8.1	Focus Mode	10	285	2	2
10.8.2	Multi-Clip Editing in the Session View	10	287	1	2
10.8.3	Multi-Clip Editing in the Arrangement View	10	287	1	2
11.1	Using MIDI Tools	11	288	3	1
11.1.1	Using Max for Live MIDI Tools	11	291	1	2
11.2	Transformation Tools	11	292	1	1
11.2.1	Arpeggiate	11	292	1	2
11.2.2	Chop	11	293	2	2
11.2.3	Connect	11	295	2	2
11.2.4	Glissando	11	297	2	2
11.2.5	LFO	11	299	2	2
11.2.6	Ornament	11	301	3	2
11.2.7	Quantize	11	304	1	2
11.2.8	Recombine	11	305	3	2
11.2.9	Span	11	308	2	2
11.2.10	Strum	11	310	2	2
11.2.11	Time Warp	11	312	2	2
11.2.12	Velocity Shaper	11	314	2	2
11.3	Generative Tools	11	316	1	1
11.3.1	Rhythm	11	316	2	2
11.3.2	Seed	11	318	1	2
11.3.3	Shape	11	319	2	2
11.3.4	Stacks	11	321	1	2
11.3.5	Euclidean	11	322	3	2
12.1	Viewing MPE Data	12	326	1	1
12.2	Editing MPE Data	12	327	3	1
12.3	Drawing Envelopes	12	330	1	1
12.4	MPE in Live’s Devices and on Push 2	12	331	1	1
12.5	MPE in External Plug-ins	12	331	1	1
12.6	MPE/Multi-channel Settings	12	331	1	1
12.6.1	Accessing the MPE/Multi-channel Settings Dialog	12	332	2	2
12.6.2	The MPE/Multi-Channel Settings Dialog	12	334	1	2
13.1	Slice to New MIDI Track	13	335	2	1
13.1.1	Resequencing Slices	13	337	1	2
13.1.2	Using Effects on Slices	13	337	1	2
13.2	Convert Harmony to New MIDI Track	13	338	1	1
13.3	Convert Melody to New MIDI Track	13	338	1	1
13.4	Convert Drums to New MIDI Track	13	339	1	1
13.5	Optimizing for Better Conversion Quality	13	339	1	1
14.1	Groove Pool	14	341	1	1
14.1.1	Adjusting Groove Parameters	14	342	1	2
14.1.2	Committing Grooves	14	343	1	2
14.2	Editing Grooves	14	344	1	1
14.2.1	Extracting Grooves	14	344	1	2
14.3	Groove Tips	14	345	1	1
14.3.1	Grooving a Single Voice	14	345	1	2
14.3.2	Non-Destructive Quantization	14	345	1	2
14.3.3	Creating Texture With Randomization	14	345	1	2
15.1	Loading a Tuning System	15	348	3	1
15.2	The Tuning Section	15	351	1	1
15.3	MIDI Track Options for Tuning Systems	15	352	1	1
15.3.1	Bypass Tuning	15	352	1	2
15.3.2	MIDI Controller Layouts	15	353	1	2
15.4	Learn More About Tuning Systems	15	354	1	1
16.1	The Launch Controls	16	355	1	1
16.2	Launch Modes	16	356	1	1
16.3	Legato Mode	16	357	1	1
16.4	Clip Launch Quantization	16	358	1	1
16.5	Velocity	16	359	1	1
16.6	Clip Offset and Nudging	16	359	2	1
16.7	Follow Actions	16	361	3	1
16.7.1	Looping Parts of a Clip	16	364	1	2
16.7.2	Creating Cycles	16	365	1	2
16.7.3	Temporarily Looping Clips	16	365	1	2
16.7.4	Adding Variations in Sync	16	365	1	2
16.7.5	Mixing up Melodies and Beats	16	366	1	2
16.7.6	Creating Nonrepetitive Structures	16	366	1	2
17.1	Monitoring	17	369	1	1
17.2	External Audio In/Out	17	370	1	1
17.2.1	Mono/Stereo Conversions	17	370	1	2
17.3	External MIDI In/Out	17	370	1	1
17.3.1	MIDI Port Inputs and Outputs	17	371	1	2
17.3.2	Playing MIDI With the Computer Keyboard	17	373	1	2
17.3.3	Connecting External Synthesizers	17	374	1	2
17.3.4	MIDI In/Out Indicators	17	374	1	2
17.4	Resampling	17	375	1	1
17.5	Internal Routings	17	375	1	1
17.5.1	Internal Routing Points	17	376	2	2
17.5.2	Making Use of Internal Routing	17	378	1	2
18.1	The Live Mixer	18	389	4	1
18.1.1	Additional Mixer Features	18	393	1	2
18.2	Audio and MIDI Tracks	18	394	1	1
18.3	Group Tracks	18	395	2	1
18.4	Return Tracks and the Main track	18	397	1	1
18.5	Using Live’s Crossfader	18	398	3	1
18.6	Soloing and Cueing	18	401	2	1
18.7	Track Delays	18	403	1	1
18.8	Keep Monitoring Latency in Recording Track Toggles	18	403	1	1
18.9	Performance Impact Track Indicators	18	404	1	1
19.1	Choosing an Input	19	405	1	1
19.2	Arming (Record-Enabling) Tracks	19	406	1	1
19.3	Recording	19	406	1	1
19.3.1	Recording Into the Arrangement	19	407	1	2
19.3.2	Recording Into Session Slots	19	407	2	2
19.3.3	Overdub Recording MIDI Patterns	19	409	1	2
19.3.4	MIDI Step Recording	19	409	1	2
19.4	Recording in Sync	19	410	2	1
19.4.1	Metronome Settings	19	412	1	2
19.5	Recording Quantized MIDI Notes	19	412	1	1
19.6	Recording with Count-in	19	413	1	1
19.7	Setting up File Types	19	413	1	1
19.8	Where are the Recorded Samples?	19	413	1	1
19.9	Using Remote Control for Recording	19	414	1	1
19.10	Capturing MIDI	19	415	1	1
19.10.1	Starting a New Live Set	19	416	1	2
19.10.2	Adding Material to an Existing Live Set	19	417	1	2
20.1	Bouncing Individual Tracks	20	418	2	1
20.2	Bouncing Group Tracks	20	420	2	1
20.3	Pasting Bounced Audio	20	422	2	1
21.1	Take Lanes	21	424	2	1
21.2	Inserting and Managing Take Lanes	21	426	1	1
21.3	Recording Takes	21	426	1	1
21.4	Inserting Samples	21	427	1	1
21.5	Auditioning Take Lanes	21	427	1	1
21.6	Creating a Comp	21	428	1	1
21.7	Source Highlights	21	429	1	1
22.1	How Stem Separation Works in Live	22	430	1	1
22.2	Separating Audio Files and Clips	22	430	6	1
22.2.1	Separation Speed vs. Quality	22	436	2	2
23.1	Device View	23	438	2	1
23.2	Using Devices	23	440	3	1
23.2.1	Device Title Bar	23	443	4	2
23.2.2	Device A/B Comparison	23	447	4	2
23.2.3	Live Device Presets	23	451	1	2
23.2.4	Hot-Swapping Presets	23	452	1	2
23.2.5	Saving Presets	23	455	1	2
23.2.6	Default Presets	23	456	2	2
23.3	Using Plug-Ins	23	458	2	1
23.3.1	Plug-Ins in the Device View	23	460	1	2
23.3.2	Sidechain Parameters	23	463	1	2
23.4	VST Plug-Ins	23	464	1	1
23.4.1	The VST Plug-In Folder	23	464	3	2
23.4.2	VST Presets and Banks	23	467	1	2
23.5	Audio Units Plug-Ins	23	468	1	1
23.6	Device Delay Compensation	23	469	2	1
24.1	An Overview of Racks	24	471	1	1
24.1.1	Signal Flow and Parallel Device Chains	24	471	1	2
24.1.2	Macro Controls	24	472	1	2
24.2	Creating Racks	24	473	1	1
24.3	Looking at Racks	24	474	1	1
24.4	Chain List	24	475	1	1
24.4.1	Auto Select	24	476	1	2
24.5	Zones	24	477	1	1
24.5.1	Signal Flow through Zones	24	477	1	2
24.5.2	Key Zones	24	478	1	2
24.5.3	Velocity Zones	24	478	1	2
24.5.4	Chain Select Zones	24	479	1	2
24.6	Drum Racks	24	481	1	1
24.6.1	Pad View	24	482	2	2
24.7	Using the Macro Controls	24	484	1	1
24.7.1	Map Mode	24	484	1	2
24.7.2	Randomizing Macro Controls	24	485	2	2
24.7.3	Macro Control Variations	24	487	1	2
24.8	Mixing With Racks	24	488	1	1
24.8.1	Extracting Chains	24	489	2	2
25.1	Recording Automation in Arrangement View	25	491	1	1
25.2	Recording Automation in Session View	25	492	2	1
25.2.1	Session Automation Recording Modes	25	494	1	2
25.3	Deleting Automation	25	494	1	1
25.4	Overriding Automation	25	494	1	1
25.5	Drawing and Editing Automation	25	495	1	1
25.5.1	Drawing Envelopes	25	496	1	2
25.5.2	Editing Breakpoints	25	497	2	2
25.5.3	Stretching and Skewing Envelopes	25	499	1	2
25.5.4	Simplifying Envelopes	25	500	1	2
25.5.5	Inserting Automation Shapes	25	501	1	2
25.5.6	Locking Envelopes	25	502	1	2
25.5.7	Edit Menu Commands	25	502	1	2
25.5.8	Editing the Tempo Automation	25	502	2	2
26.1	The Clip Envelope Editor	26	504	1	1
26.2	Audio Clip Envelopes	26	505	1	1
26.2.1	Clip Envelopes are Non-Destructive	26	505	1	2
26.2.2	Changing Pitch and Tuning per Note	26	506	1	2
26.2.3	Muting or Attenuating Notes in a Sample	26	507	1	2
26.2.4	Scrambling Beats	26	507	1	2
26.2.5	Using Clips as Templates	26	508	1	2
26.3	Mixer and Device Clip Envelopes	26	508	2	1
26.3.1	Modulating Mixer Volumes and Sends	26	510	2	2
26.3.2	Modulating Pan	26	512	1	2
26.3.3	Modulating Device Controls	26	512	1	2
26.4	MIDI Controller Clip Envelopes	26	513	1	1
26.5	Unlinking Clip Envelopes From Clips	26	513	1	1
26.5.1	Programming a Fade-Out for a Live Set	26	514	1	2
26.5.2	Creating Long Loops from Short Loops	26	514	1	2
26.5.3	Imposing Rhythm Patterns onto Samples	26	515	1	2
26.5.4	Clip Envelopes as LFOs	26	515	1	2
26.5.5	Warping Linked Envelopes	26	515	2	2
27.1	Importing Video	27	517	1	1
27.2	The Appearance of Video in Live	27	517	1	1
27.2.1	Video Clips in the Arrangement View	27	517	1	2
27.2.2	The Video Window	27	518	1	2
27.2.3	Clip View	27	519	1	2
27.3	Matching Sound to Video	27	520	1	1
27.4	Video Trimming Tricks	27	520	3	1
28.1	Amp	28	523	1	1
28.1.1	Amp Tips	28	524	1	2
28.2	Auto Filter	28	525	1	1
28.2.1	Filter Types	28	526	1	2
28.2.2	Filter Display	28	527	1	2
28.2.3	LFO Controls	28	528	1	2
28.2.4	Envelope Follower Controls	28	529	1	2
28.2.5	Filter Drive and Circuits	28	530	1	2
28.2.6	Global Controls	28	531	1	2
28.2.7	Sidechain Parameters	28	531	2	2
28.3	Auto Pan-Tremolo	28	533	4	1
28.4	Auto Shift	28	537	1	1
28.4.1	Input Section	28	538	1	2
28.4.2	Quantizer Tab	28	540	1	2
28.4.3	MIDI Tab	28	541	1	2
28.4.4	LFO Tab	28	542	1	2
28.4.5	Pitch Section	28	543	1	2
28.4.6	Vibrato Section	28	544	1	2
28.5	Beat Repeat	28	545	2	1
28.6	Cabinet	28	547	1	1
28.6.1	Cabinet Tips	28	548	1	2
28.7	Channel EQ	28	549	1	1
28.7.1	Channel EQ Tips	28	550	1	2
28.8	Chorus-Ensemble	28	551	3	1
28.8.1	Chorus-Ensemble Tips	28	554	1	2
28.9	Compressor	28	555	3	1
28.9.1	Sidechain Parameters	28	558	1	2
28.9.2	Compressor Tips	28	559	1	2
28.10	Corpus	28	560	1	1
28.10.1	Resonator Parameters	28	561	2	2
28.10.2	LFO Section	28	563	1	2
28.10.3	Filter Section	28	564	1	2
28.10.4	Global Parameters	28	565	1	2
28.10.5	Sidechain Parameters	28	565	1	2
28.11	Delay	28	566	3	1
28.11.1	Context Menu Options for Delay	28	569	1	2
28.11.2	Delay Tips	28	569	1	2
28.12	Drum Buss	28	570	1	1
28.12.0.1	Mid-High Frequency Shaping	28	571	1	2
28.12.0.2	Low-End Enhancement	28	571	1	2
28.12.0.3	Output	28	571	1	2
28.13	Dynamic Tube	28	572	1	1
28.14	Echo	28	573	1	1
28.14.1	Echo Tab	28	574	1	2
28.14.2	Modulation Tab	28	575	1	2
28.14.3	Character Tab	28	575	1	2
28.14.4	Global Controls	28	576	1	2
28.15	EQ Eight	28	577	2	1
28.15.0.1	Context Menu Options for EQ Eight	28	579	1	2
28.16	EQ Three	28	579	1	1
28.17	Erosion	28	580	1	1
28.18	External Audio Effect	28	581	2	1
28.19	Filter Delay	28	583	1	1
28.20	Gate	28	584	2	1
28.21	Glue Compressor	28	586	1	1
28.21.1	Sidechain Parameters	28	587	1	2
28.22	Grain Delay	28	589	1	1
28.23	Hybrid Reverb	28	590	1	1
28.23.1	Signal Flow	28	591	1	2
28.23.2	Input Section	28	591	1	2
28.23.3	Convolution Reverb Engine	28	592	1	2
28.23.4	Algorithmic Reverb Engine	28	593	1	2
28.23.5	EQ Section	28	596	1	2
28.23.6	Output Section	28	596	1	2
28.24	Limiter	28	597	2	1
28.25	Looper	28	599	3	1
28.25.1	Feedback Routing	28	602	1	2
28.26	Multiband Dynamics	28	603	1	1
28.26.1	Dynamics Processing Theory	28	603	1	2
28.26.2	Interface and Controls	28	604	2	2
28.26.3	Sidechain Parameters	28	606	1	2
28.26.4	Multiband Dynamics Tips	28	607	1	2
28.27	Overdrive	28	608	1	1
28.28	Pedal	28	609	1	1
28.28.1	Pedal Tips	28	610	1	2
28.29	Phaser-Flanger	28	612	3	1
28.30	Redux	28	615	1	1
28.30.1	Downsampling	28	616	1	2
28.30.2	Bit Reduction	28	616	1	2
28.31	Resonators	28	617	1	1
28.32	Reverb	28	618	1	1
28.32.1	Input Filter	28	619	1	2
28.32.2	Early Reflections	28	619	1	2
28.32.3	Diffusion Network	28	620	1	2
28.32.4	Chorus	28	620	1	2
28.32.5	Global Settings	28	621	1	2
28.32.6	Output	28	622	1	2
28.33	Roar	28	622	1	1
28.33.1	Input Section	28	623	1	2
28.33.2	Gain Stage Section	28	624	2	2
28.33.3	Modulation Section	28	626	2	2
28.33.4	Feedback Section	28	628	1	2
28.33.5	Global Section	28	629	1	2
28.33.6	Sidechain Parameters	28	630	1	2
28.34	Saturator	28	631	2	1
28.34.0.1	Saturator’s Waveshaper Controls	28	633	1	2
28.34.0.2	Context Menu Options for Saturator	28	634	1	2
28.35	Shifter	28	634	1	1
28.35.1	Tuning and Delay Section	28	635	1	2
28.35.2	LFO Section	28	636	1	2
28.35.3	Envelope Follower Section	28	637	1	2
28.35.4	Shifter Mode Section	28	637	1	2
28.35.5	Sidechain Parameters	28	638	1	2
28.35.6	Shifter Tips	28	639	1	2
28.36	Spectral Resonator	28	639	1	1
28.36.1	Pitch Mode Section	28	640	1	2
28.36.2	Frequency Section	28	641	1	2
28.36.3	Modulation Section	28	642	1	2
28.36.4	Spectrogram	28	642	1	2
28.36.5	Global Parameters	28	643	1	2
28.36.6	Spectral Resonator Tips	28	644	1	2
28.37	Spectral Time	28	644	1	1
28.37.1	Freezer Section	28	645	1	2
28.37.2	Delay Section	28	646	1	2
28.37.3	Resolution Section	28	647	1	2
28.37.4	Global Controls	28	647	1	2
28.38	Spectrum	28	648	1	1
28.39	Tuner	28	649	1	1
28.39.1	View Switches	28	650	1	2
28.39.2	Classic View	28	650	2	2
28.39.3	Histogram View	28	652	1	2
28.39.4	Note Spellings	28	653	1	2
28.39.5	Reference Slider	28	654	1	2
28.40	Utility	28	655	2	1
28.41	Vinyl Distortion	28	657	1	1
28.42	Vocoder	28	658	2	1
28.42.1	Vocoder Tips	28	660	1	2
29.1	Arpeggiator	29	662	3	1
29.2	CC Control	29	665	1	1
29.3	Chord	29	666	2	1
29.4	Note Length	29	668	1	1
29.5	Pitch	29	669	1	1
29.6	Random	29	670	2	1
29.7	Scale	29	672	1	1
29.8	Velocity	29	673	2	1
30.1	Analog	30	675	1	1
30.1.1	Architecture and Interface	30	675	1	2
30.1.2	Oscillators	30	676	2	2
30.1.3	Noise Generator	30	678	1	2
30.1.4	Filters	30	678	1	2
30.1.5	Amplifiers	30	679	1	2
30.1.6	Envelopes	30	680	1	2
30.1.7	LFOs	30	681	1	2
30.1.8	Global Parameters	30	682	1	2
30.1.9	MPE Sources	30	683	1	2
30.2	Collision	30	684	1	1
30.2.1	Architecture and Interface	30	684	1	2
30.2.2	Mallet Section	30	685	1	2
30.2.3	Noise Section	30	686	1	2
30.2.4	Resonator Tabs	30	687	2	2
30.2.5	LFO Tab	30	690	1	2
30.2.6	MIDI/MPE Tab	30	691	1	2
30.2.7	Sound Design Tips	30	692	1	2
30.3	Drift	30	693	1	1
30.3.1	Subtractive Synthesis	30	693	1	2
30.3.2	Oscillator Section	30	694	1	2
30.3.3	Filter Section	30	696	1	2
30.3.4	Envelopes Section	30	697	1	2
30.3.5	LFO Section	30	698	1	2
30.3.6	Mod Section	30	699	1	2
30.3.7	Global Section	30	700	1	2
30.4	Drum Sampler	30	701	1	1
30.4.1	Sample Controls Section	30	701	2	2
30.4.2	Playback Effects Section	30	703	2	2
30.4.3	Filter Section	30	705	1	2
30.4.4	Global Section	30	705	1	2
30.4.5	Context Menu Options for Drum Sampler	30	706	1	2
30.5	Electric	30	707	1	1
30.5.1	Architecture and Interface	30	707	1	2
30.5.2	Hammer Section	30	708	1	2
30.5.3	Fork Section	30	709	1	2
30.5.4	Damper/Pickup Section	30	710	1	2
30.5.5	Global Section	30	711	1	2
30.6	External Instrument	30	712	2	1
30.7	Impulse	30	714	1	1
30.7.1	Sample Slots	30	714	1	2
30.7.2	Start, Transpose and Stretch	30	715	1	2
30.7.3	Filter	30	715	1	2
30.7.4	Saturator and Envelope	30	715	1	2
30.7.5	Pan and Volume	30	715	1	2
30.7.6	Global Controls	30	716	1	2
30.7.7	Individual Outputs	30	716	1	2
30.8	Meld	30	716	1	1
30.8.1	General Overview	30	716	1	2
30.8.2	Oscillators	30	717	1	2
30.8.3	Oscillator Macros	30	718	2	2
30.8.4	Envelopes Tab	30	720	1	2
30.8.5	LFOs Tab	30	721	1	2
30.8.6	Matrix Tab	30	721	1	2
30.8.7	MIDI and MPE Tabs	30	722	1	2
30.8.8	Settings Tab	30	722	1	2
30.8.9	Filters	30	723	2	2
30.8.10	Mix Section	30	725	1	2
30.8.11	Global Controls	30	725	1	2
30.9	Operator	30	726	1	1
30.9.1	General Overview	30	727	1	2
30.9.2	Oscillator Section	30	728	1	2
30.9.3	LFO Section	30	730	1	2
30.9.4	Envelopes	30	731	2	2
30.9.5	Filter Section	30	733	1	2
30.9.6	Global Controls	30	734	1	2
30.9.7	Glide and Spread	30	735	1	2
30.9.8	Strategies for Saving CPU Power	30	736	1	2
30.9.9	Finally…	30	736	1	2
30.9.10	The Complete Parameter List	30	736	1	2
30.10	Sampler	30	744	1	1
30.10.1	Getting Started with Sampler	30	744	1	2
30.10.2	Multisampling	30	744	1	2
30.10.3	Title Bar Options	30	745	1	2
30.10.4	Sampler’s Tabs	30	746	1	2
30.10.5	The Zone Tab	30	746	1	2
30.10.6	The Sample Tab	30	752	1	2
30.10.7	The Pitch/Osc Tab	30	756	1	2
30.10.8	The Filter/Global Tab	30	758	1	2
30.10.9	The Modulation Tab	30	760	1	2
30.10.10	The MIDI Tab	30	761	1	2
30.10.11	Importing Third-Party Multisamples	30	762	1	2
30.11	Simpler	30	762	1	1
30.11.1	Playback Modes	30	763	1	2
30.11.2	Warp Controls	30	767	1	2
30.11.3	Filter	30	768	1	2
30.11.4	Envelopes	30	769	1	2
30.11.5	LFO	30	770	1	2
30.11.6	Global Parameters	30	771	1	2
30.11.7	Context Menu Options for Simpler	30	772	1	2
30.11.8	Strategies for Saving CPU Power	30	772	1	2
30.12	Tension	30	773	1	1
30.12.1	Architecture and Interface	30	773	1	2
30.12.2	String Tab	30	774	1	2
30.12.3	Filter/Global Tab	30	780	4	2
30.12.4	Sound Design Tips	30	784	1	2
30.13	Wavetable	30	785	1	1
30.13.1	Wavetable Synthesis	30	785	1	2
30.13.2	Oscillators	30	785	2	2
