# w_over_pi  magnitude_dB
0.382812 -11.1648
0.384766 -11.3041
0.386719 -11.4426
0.388672 -11.5805
0.390625 -11.7178
0.392578 -11.8544
0.394531 -11.9904
0.396484 -12.1257
0.398438 -12.2605
0.400391 -12.3947
0.402344 -12.5283
0.404297 -12.6613
0.406250 -12.7938
0.408203 -12.9258
0.410156 -13.0572
0.412109 -13.1881
0.414062 -13.3185
0.416016 -13.4484
0.417969 -13.5779
0.419922 -13.7068
0.421875 -13.8353
0.423828 -13.9634
0.425781 -14.0910
0.427734 -14.2182
0.429688 -14.3450
0.431641 -14.4713
0.433594 -14.5973
0.435547 -14.7228
0.437500 -14.8480
0.439453 -14.9728
0.441406 -15.0972
0.443359 -15.2213
0.445312 -15.3451
0.447266 -15.4685
0.449219 -15.5915
0.451172 -15.7143
0.453125 -15.8367
0.455078 -15.9588
0.457031 -16.0807
0.458984 -16.2022
0.460938 -16.3235
0.462891 -16.4445
0.464844 -16.5652
0.466797 -16.6856
0.468750 -16.8059
0.470703 -16.9258
0.472656 -17.0456
0.474609 -17.1651
0.476562 -17.2843
0.478516 -17.4034
0.480469 -17.5223
0.482422 -17.6409
0.484375 -17.7594
0.486328 -17.8776
0.488281 -17.9957
0.490234 -18.1136
0.492188 -18.2314
0.494141 -18.3490
0.496094 -18.4664
0.498047 -18.5837
0.500000 -18.7008
0.501953 -18.8178
0.503906 -18.9347
0.505859 -19.0514
0.507812 -19.1681
0.509766 -19.2846
0.511719 -19.4010
0.513672 -19.5173
0.515625 -19.6335
0.517578 -19.7497
0.519531 -19.8657
0.521484 -19.9817
0.523438 -20.0976
0.525391 -20.2135
0.527344 -20.3292
0.529297 -20.4450
0.531250 -20.5607
0.533203 -20.6763
0.535156 -20.7919
0.537109 -20.9075
0.539062 -21.0231
0.541016 -21.1386
0.542969 -21.2541
0.544922 -21.3696
0.546875 -21.4852
0.548828 -21.6007
0.550781 -21.7162
0.552734 -21.8318
0.554688 -21.9473
0.556641 -22.0629
0.558594 -22.1786
0.560547 -22.2942
0.562500 -22.4099
0.564453 -22.5257
0.566406 -22.6415
0.568359 -22.7574
0.570312 -22.8733
0.572266 -22.9893
0.574219 -23.1054
0.576172 -23.2216
0.578125 -23.3379
0.580078 -23.4542
0.582031 -23.5707
0.583984 -23.6872
0.585938 -23.8039
0.587891 -23.9207
0.589844 -24.0376
0.591797 -24.1547
0.593750 -24.2718
0.595703 -24.3892
0.597656 -24.5066
0.599609 -24.6242
0.601562 -24.7420
0.603516 -24.8600
0.605469 -24.9781
0.607422 -25.0964
0.609375 -25.2148
0.611328 -25.3335
0.613281 -25.4523
0.615234 -25.5714
0.617188 -25.6907
0.619141 -25.8101
0.621094 -25.9298
0.623047 -26.0497
0.625000 -26.1699
0.626953 -26.2903
0.628906 -26.4109
0.630859 -26.5318
0.632812 -26.6529
0.634766 -26.7744
0.636719 -26.8960
0.638672 -27.0180
0.640625 -27.1403
0.642578 -27.2628
0.644531 -27.3856
0.646484 -27.5088
0.648438 -27.6322
0.650391 -27.7560
0.652344 -27.8801
0.654297 -28.0046
0.656250 -28.1294
0.658203 -28.2545
0.660156 -28.3800
0.662109 -28.5059
0.664062 -28.6321
0.666016 -28.7588
0.667969 -28.8858
0.669922 -29.0132
0.671875 -29.1410
0.673828 -29.2693
0.675781 -29.3979
0.677734 -29.5270
0.679688 -29.6566
0.681641 -29.7866
0.683594 -29.9170
0.685547 -30.0479
0.687500 -30.1793
0.689453 -30.3112
0.691406 -30.4436
0.693359 -30.5765
0.695312 -30.7099
0.697266 -30.8439
0.699219 -30.9783
0.701172 -31.1134
0.703125 -31.2489
0.705078 -31.3851
0.707031 -31.5218
0.708984 -31.6591
0.710938 -31.7971
0.712891 -31.9356
0.714844 -32.0748
0.716797 -32.2146
0.718750 -32.3550
0.720703 -32.4961
0.722656 -32.6379
0.724609 -32.7804
0.726562 -32.9236
0.728516 -33.0675
0.730469 -33.2121
0.732422 -33.3575
0.734375 -33.5036
0.736328 -33.6505
0.738281 -33.7982
0.740234 -33.9466
0.742188 -34.0959
0.744141 -34.2460
0.746094 -34.3970
0.748047 -34.5488
0.750000 -34.7016
0.751953 -34.8552
0.753906 -35.0097
0.755859 -35.1652
0.757812 -35.3216
0.759766 -35.4789
0.761719 -35.6373
0.763672 -35.7967
0.765625 -35.9571
0.767578 -36.1185
0.769531 -36.2811
0.771484 -36.4447
0.773438 -36.6094
0.775391 -36.7753
0.777344 -36.9423
0.779297 -37.1105
0.781250 -37.2799
0.783203 -37.4506
0.785156 -37.6225
0.787109 -37.7957
0.789062 -37.9702
0.791016 -38.1460
0.792969 -38.3232
0.794922 -38.5018
0.796875 -38.6818
0.798828 -38.8633
0.800781 -39.0463
0.802734 -39.2308
0.804688 -39.4168
0.806641 -39.6045
0.808594 -39.7938
0.810547 -39.9847
0.812500 -40.1773
0.814453 -40.3717
0.816406 -40.5679
0.818359 -40.7659
0.820312 -40.9657
0.822266 -41.1675
0.824219 -41.3712
0.826172 -41.5769
0.828125 -41.7847
0.830078 -41.9945
0.832031 -42.2065
0.833984 -42.4208
0.835938 -42.6373
0.837891 -42.8561
0.839844 -43.0773
0.841797 -43.3010
0.843750 -43.5271
0.845703 -43.7558
0.847656 -43.9872
0.849609 -44.2213
0.851562 -44.4582
0.853516 -44.6980
0.855469 -44.9407
0.857422 -45.1865
0.859375 -45.4353
0.861328 -45.6874
0.863281 -45.9428
0.865234 -46.2016
0.867188 -46.4640
0.869141 -46.7299
0.871094 -46.9996
0.873047 -47.2732
0.875000 -47.5507
0.876953 -47.8323
0.878906 -48.1182
0.880859 -48.4085
0.882812 -48.7033
0.884766 -49.0028
0.886719 -49.3071
0.888672 -49.6165
0.890625 -49.9312
0.892578 -50.2512
0.894531 -50.5768
0.896484 -50.9083
0.898438 -51.2458
0.900391 -51.5896
0.902344 -51.9400
0.904297 -52.2971
0.906250 -52.6614
0.908203 -53.0331
0.910156 -53.4126
0.912109 -53.8001
0.914062 -54.1961
0.916016 -54.6009
0.917969 -55.0150
0.919922 -55.4388
0.921875 -55.8728
0.923828 -56.3176
0.925781 -56.7737
0.927734 -57.2416
0.929688 -57.7222
0.931641 -58.2160
0.933594 -58.7238
0.935547 -59.2466
0.937500 -59.7852
0.939453 -60.3407
0.941406 -60.9141
0.943359 -61.5067
0.945312 -62.1199
0.947266 -62.7551
0.949219 -63.4140
0.951172 -64.0985
0.953125 -64.8107
0.955078 -65.5530
0.957031 -66.3280
0.958984 -67.1388
0.960938 -67.9889
0.962891 -68.8824
0.964844 -69.8239
0.966797 -70.8191
0.968750 -71.8743
0.970703 -72.9973
0.972656 -74.1977
0.974609 -75.4867
0.976562 -76.8788
0.978516 -78.3917
0.980469 -80.0488
0.982422 -81.8802
0.984375 -83.9274
0.986328 -86.2480
0.988281 -88.9267
0.990234 -92.0946
0.992188 -95.9716
0.994141 -100.9696
0.996094 -108.0135
0.998047 -120.0549
1.000000 -180.0000
