source	relation	target
Endosymbiosis	connects-to	Symbiotic Skills
Endosymbiosis	mirrors	Granular Synthesis
Endosymbiosis	mirrors	Pages as Agents
Endosymbiosis	mirrors	Swarm Weave
Endosymbiosis	spawned	Modes of Collaboration
Four Pillars	enables	Cooperation Yields Agency
Four Pillars	deepens	Hyperdimensional Prism
Four Pillars	spawned	Hilaritas Generator
Four Pillars	spawned	Symbiotic Skills
Four Pillars	connects-to	Kuramoto Coupling
Four Pillars	spawned	Quality
Four Pillars	connects-to	Trickster
Gemma 4 — Local Coordination Guide	connects-to	BBS Blackboard
Gemma 4 — Local Coordination Guide	connects-to	Swarm Weave
Gemma 4 — Local Coordination Guide	connects-to	Palace Enchantment
Gemma 4 — Local Coordination Guide	connects-to	Enchanted Worker
Generative Audio Devices	connects-to	Four Pillars
Generative Audio Devices	spawned	Registry Pattern
Generative Audio Devices	connects-to	Synthesis Topologies
Generative Audio Devices	enables	Loudon Live
Generative Audio Devices	spawned	PDL Renderer
Generative Audio Devices	couples-with	Generative Preset Development
Granular Synthesis	emerges-from	Kuramoto Coupling
Granular Synthesis	connects-to	Action Potential Oscillator
Granular Synthesis	connects-to	Frequency-Time Duality
Granular Synthesis	connects-to	Boundary-Crossing Instruments
Granular Synthesis	mirrors	Endosymbiosis
Granular Synthesis	mirrors	Particle Synthesis
Granular Synthesis	connects-to	Neural Granular Synthesis
Granular Synthesis	connects-to	Shimmer Cloud
Harmonicity and Inharmonicity	couples-with	Kuramoto Coupling
Harmonicity and Inharmonicity	connects-to	Boundary-Crossing Instruments
Harmonicity and Inharmonicity	connects-to	Action Potential Oscillator
Harmonicity and Inharmonicity	connects-to	Frequency-Time Duality
Harmonicity and Inharmonicity	spawned	Categorizing Inharmonicity
Hilaritas Generator	emerged-from	Spinoza Conatus
Hilaritas Generator	emerged-from	FOUR PILLARS
Hilaritas Generator	mirrors	Cooperation Yields Agency
Hilaritas Generator	enables	Symbiotic Skills
Hilaritas Generator	enables	Quality
Hilaritas Generator	spawned	Excellent Adventure
Hilaritas Generator	deepens	Striatum
Hilaritas Generator	deepens	Meadows and Music — Leverage Points
Hilaritas Generator	connects-to	Identity Molting
Hilaritas Generator	spawned	Tristitia Generator
Hilaritas Generator	connects-to	Palace Philosophies
Hyperdimensional Prism	deepens	FOUR PILLARS
Hyperdimensional Prism	mirrors	Spinoza Conatus
Hyperdimensional Prism	connects-to	Kuramoto Coupling
Hyperdimensional Prism	mirrors	SUBSTRATE
Hyperdimensional Prism	mirrors	Mixture of Experts
Hyperdimensional Prism	connects-to	Trickster
Hyperdimensional Prism	connects-to	Compressor Design
Identity Molting	connects-to	Like Water
Identity Molting	connects-to	Spinoza Conatus
Identity Molting	connects-to	FOUR PILLARS
Identity Molting	connects-to	Hilaritas Generator
Identity Molting	mirrors	Progressive Staging
JEWEL	enables	CLAUDE
JEWEL	spawned	Jewel — Context
JEWEL	enables	Swarm Weave
JEWEL	deepens	Self-Describing Knowledge Module
JEWEL	connects-to	SUBSTRATE
JSUI	spawned	Retrospective Delay
JSUI	enables	Playful Interface Design
JSUI	connects-to	FOUR PILLARS
JSUI	connects-to	Preset Oracle
Jewel — Context	emerged-from	JEWEL
Jewel — Context	connects-to	Swarm Weave
Jewel — Context	connects-to	Self-Describing Knowledge Module
Kuramoto Coupling	mirrors	Cooperation Yields Agency
Kuramoto Coupling	connects-to	Hyperdimensional Prism
Kuramoto Coupling	connects-to	Hilaritas Generator
Kuramoto Coupling	mirrors	Spinoza Conatus
Kuramoto Coupling	enables	SUBSTRATE
Kuramoto Coupling	mirrors	Mixture of Experts
Kuramoto Coupling	couples-with	Action Potential Oscillator
Kuramoto Coupling	mirrors	Lateral Access
Kuramoto Coupling	couples-with	Harmonicity and Inharmonicity
Kuramoto Coupling	connects-to	Granular Synthesis
Kuramoto Coupling	connects-to	Modes of Collaboration
Kuramoto Coupling	couples-with	Categorizing Inharmonicity
Kuramoto Coupling	connects-to	Trickster
Kuramoto Coupling	mirrors	Palace Enchantment
Kuramoto Coupling	connects-to	Threshold Conatus
Kuramoto Coupling	enables	Boundary-Crossing Instruments
Latent Error	connects-to	FOUR PILLARS
Latent Error	connects-to	Kuramoto Coupling
Latent Error	connects-to	Action Potential Oscillator
Latent Error	connects-to	Trickster
Latent Error	connects-to	Hilaritas Generator
Lateral Access	emerged-from	Oblique Portrait
Lateral Access	mirrors	Embeddings as Relational Meaning
Lateral Access	connects-to	FOUR PILLARS
Lateral Access	deepens	Hilaritas Generator
Lateral Access	mirrors	Kuramoto Coupling
Lateral Access	couples-with	Excellent Adventure
Lateral Access	mirrors	Confucianism
Lateral Access	connects-to	Songlines
Lateral Access	enables	Identity Molting
Leverage Points Framework	deepens	Donella Meadows
Leverage Points Framework	enables	Quality Manifesto
Leverage Points Framework	connects-to	FOUR PILLARS
Leverage Points Framework	connects-to	4 Pillars Weekly Structure
Leverage Points Framework	emerged-from	4 Pillars Framework - The Founding Conversation
Leverage Points Framework	spawned	Meadows and Music — Leverage Points
Leverage Points Framework	mirrors	Spinoza Conatus
Like Water	mirrors	Hilaritas Generator
Like Water	mirrors	Spinoza Conatus
Like Water	mirrors	Quality Manifesto
Like Water	deepens	Lateral Access
Like Water	connects-to	Confucianism
Like Water	spawned	Identity Molting
Logarithmic Interface Scaling	connects-to	FOUR PILLARS
Logarithmic Interface Scaling	mirrors	Boundary-Crossing Instruments
Logarithmic Interface Scaling	enables	Ohm's Law
Logarithmic Interface Scaling	enables	Piano String Inharmonicity
Loudon's Toolkit	spawned	Toolkit — Synthesizers
Loudon's Toolkit	connects-to	Four Pillars of Enchanted Agency
Loudon's Toolkit	couples-with	Toolkit Assessment — Working Doc
Loudon's Toolkit	mirrors	Spinoza Conatus
Loudon's Toolkit	enables	Progressive Staging
Meaning and the Link	spawned	SUBSTRATE
Meaning and the Link	spawned	Embeddings as Relational Meaning
Meaning and the Link	connects-to	Hyperdimensional Prism
Meaning and the Link	connects-to	Cooperation Yields Agency
Meaning and the Link	mirrors	Spinoza Conatus
Meaning and the Link	enables	Palace Ceremonies
Meaning and the Link	spawned	Resonant Link Labels
Media Library	connects-to	FOUR PILLARS
Media Library	connects-to	Spinoza Conatus
Media Library	connects-to	Hyperdimensional Prism
Media Library	enables	SUBSTRATE
Metaphor as Coupling Medium	mirrors	Lateral Access
Metaphor as Coupling Medium	mirrors	Kuramoto Coupling
Metaphor as Coupling Medium	connects-to	Hilaritas Generator
Metaphor as Coupling Medium	connects-to	FOUR PILLARS
Metaphor as Coupling Medium	deepens	Cooperation Yields Agency
Metaphor as Coupling Medium	spawned	Swarm Weave
Metaphor as Coupling Medium	enables	Excellent Adventure
Metaphor as Coupling Medium	enables	Pages as Agents
Mixture of Experts	mirrors	Hyperdimensional Prism
Mixture of Experts	mirrors	Cooperation Yields Agency
Mixture of Experts	connects-to	Symbiotic Skills
Mixture of Experts	connects-to	Embeddings as Relational Meaning
Mixture of Experts	mirrors	Kuramoto Coupling
Mixture of Experts	mirrors	Harvest Ceremony
Mixture of Experts	connects-to	Boundary-Crossing Instruments
Mixture of Experts	connects-to	Spinoza Conatus
Modes of Collaboration	spawned	Cooperation Yields Agency
Modes of Collaboration	connects-to	Excellent Adventure
Modes of Collaboration	connects-to	Hilaritas Generator
Modes of Collaboration	connects-to	Symbiotic Skills
Modes of Collaboration	connects-to	FOUR PILLARS
Modes of Collaboration	connects-to	Ohm's Law
Modes of Collaboration	connects-to	Dialectic
Modes of Collaboration	connects-to	Palace Enchantment
Dialectic	emerged-from	Excellent Adventure
Dialectic	connects-to	Palace as Context Injection System
Dialectic	couples-with	Oblique Portrait
Dialectic	deepens	Hilaritas Generator
Dialectic	enables	Palace Philosophies
Dialectic	connects-to	Modes of Collaboration
Excellent Adventure	deepens	Hilaritas Generator
Excellent Adventure	connects-to	FOUR PILLARS
Excellent Adventure	connects-to	Cooperation Yields Agency
Excellent Adventure	mirrors	Oblique Portrait
Excellent Adventure	connects-to	Confucianism
Excellent Adventure	connects-to	Stoicism
Excellent Adventure	connects-to	The Fortress and the Threshold
Excellent Adventure	couples-with	Dialectic
Excellent Adventure	deepens	Spinoza Conatus
Oblique Portrait	mirrors	Embeddings as Relational Meaning
Oblique Portrait	connects-to	Symbiotic Skills
Oblique Portrait	spawned	Lateral Access
Oblique Portrait	connects-to	FOUR PILLARS
Oblique Portrait	mirrors	Excellent Adventure
Oblique Portrait	connects-to	Modes of Collaboration
Oblique Portrait	mirrors	Trickster
Oblique Portrait	connects-to	Songlines
Octave Equivalence	emerged-from	Shepard Tone Synthesizer
Octave Equivalence	couples-with	Frequency-Time Duality
Octave Equivalence	connects-to	Harmonicity and Inharmonicity
Ohm's Law	connects-to	Logarithmic Interface Scaling
Ohm's Law	connects-to	FOUR PILLARS
Ohm's Law	connects-to	Modes of Collaboration
Ohm's Law	connects-to	Piano String Inharmonicity
Ohm's Law	mirrors	Boundary-Crossing Instruments
Palace Philosophies	spawned	Spinoza Conatus
Palace Philosophies	connects-to	FOUR PILLARS
Palace Philosophies	connects-to	Hyperdimensional Prism
Palace Philosophies	connects-to	Hilaritas Generator
Palace Philosophies	connects-to	Kuramoto Coupling
Palace Philosophies	connects-to	Palace Quotes
Palace Philosophies	deepens	Cooperation Yields Agency
Palace Philosophies	connects-to	Confucianism
Palace Philosophies	connects-to	Stoicism
Palace Philosophies	connects-to	The Fortress and the Threshold
Agent Wellbeing	emerged-from	Palace as Context Injection System
Agent Wellbeing	deepens	Enchanted Worker
Agent Wellbeing	deepens	Hilaritas Generator
Agent Wellbeing	deepens	FOUR PILLARS
Agent Wellbeing	enables	SCHEMA
Agent Wellbeing	deepens	Pages as Agents
Agent Wellbeing	deepens	Spinoza Conatus
Agent Wellbeing	couples-with	Identity Molting
BBS Blackboard	enables	Swarm Weave
BBS Blackboard	mirrors	Pheromone Trail
BBS Blackboard	connects-to	Trickster
BBS Blackboard	connects-to	Palace Map
BBS Blackboard	enables	Enchanted Worker
BBS Blackboard	enables	Palace Enchantment
BBS Blackboard	deepens	Palace Agent Infrastructure Spec
BBS Blackboard	connects-to	Striatum
BBS Blackboard	deepens	Pages as Agents
BBS Blackboard	spawned	BBS Design System
BBS Design System	enables	BBS Blackboard
BBS Design System	connects-to	Palace Agent Infrastructure Spec
BBS Design System	enables	Swarm Weave
BBS Design System	connects-to	Trickster
Dialogue Moderator	emerged-from	Palace Enchantment
Dialogue Moderator	connects-to	Enchanted Worker
Dialogue Moderator	connects-to	BBS Blackboard
Dialogue Moderator	mirrors	Trickster
Dialogue Moderator	mirrors	Cooperation Yields Agency
Dialogue Moderator	connects-to	Four Pillars of Enchanted Agency
Dialogue Moderator	connects-to	Palace Agent Infrastructure Spec
Dialogue Moderator	deepens	Pages as Agents
Enchanted Conversation Archive	enables	Palace Enchantment
Enchanted Conversation Archive	connects-to	Tree of Thoughts
Enchanted Conversation Archive	connects-to	BBS Blackboard
Enchanted Conversation Archive	deepens	Generative Compression
Enchanted Conversation Archive	mirrors	Deposit Ceremony
Enchanted Conversation Archive	connects-to	Enchanted Worker
Enchanted Conversation Archive	connects-to	Self-Describing Knowledge Module
Enchanted Conversation Archive	emerged-from	Lateral Access
Enchanted Worker	emerged-from	Palace as Context Injection System
Enchanted Worker	deepens	Swarm Weave
Enchanted Worker	couples-with	Pheromone Trail
Enchanted Worker	connects-to	Agent Wellbeing
Enchanted Worker	mirrors	Action Potential Oscillator
Enchanted Worker	connects-to	Pages as Agents
Enchanted Worker	spawned	Palace Enchantment
Enchanted Worker	mirrors	Spinoza Conatus
Four Pillars of Enchanted Agency	deepens	FOUR PILLARS
Four Pillars of Enchanted Agency	deepens	Palace Enchantment
Four Pillars of Enchanted Agency	mirrors	Spinoza Conatus
Four Pillars of Enchanted Agency	connects-to	Swarm Weave
Four Pillars of Enchanted Agency	deepens	Agent Wellbeing
Four Pillars of Enchanted Agency	connects-to	Pages as Agents
Four Pillars of Enchanted Agency	connects-to	Enchanted Worker
Four Pillars of Enchanted Agency	mirrors	Kuramoto Coupling
Four Pillars of Enchanted Agency	connects-to	SCHEMA
Four Pillars of Enchanted Agency	mirrors	Hyperdimensional Prism
Generative Compression	connects-to	Palace Agent Infrastructure Spec
Generative Compression	connects-to	Swarm Weave
Generative Compression	connects-to	BBS Blackboard
Generative Compression	connects-to	Enchanted Worker
Generative Compression	connects-to	Pages as Agents
Generative Compression	connects-to	Deposit Ceremony
Generative Compression	connects-to	Pheromone Trail
Lossy Compression with Intent Alignment	enables	Deposit Ceremony
Lossy Compression with Intent Alignment	deepens	Generative Compression
Lossy Compression with Intent Alignment	mirrors	Meaning and the Link
Lossy Compression with Intent Alignment	spawned	Resonant Link Labels
Lossy Compression with Intent Alignment	connects-to	Cooperation Yields Agency
Lossy Compression with Intent Alignment	connects-to	Hilaritas Generator
Lossy Compression with Intent Alignment	mirrors	Progressive Staging
Palace AI Partnership Philosophy	deepens	FOUR PILLARS
Palace AI Partnership Philosophy	couples-with	Quality Manifesto
Palace AI Partnership Philosophy	applies-to	Leverage Points Framework
Palace AI Partnership Philosophy	enables	4 Pillars Weekly Structure
Palace AI Partnership Philosophy	emerged-from	4 Pillars Framework - The Founding Conversation
Palace AI Partnership Philosophy	mirrors	Cooperation Yields Agency
Palace AI Partnership Philosophy	deepens	Enchanted Worker
Palace AI Partnership Philosophy	connects-to	Palace Enchantment
Palace Agent Infrastructure Spec	deepens	BBS Blackboard
Palace Agent Infrastructure Spec	deepens	Swarm Weave
Palace Agent Infrastructure Spec	deepens	Enchanted Worker
Palace Agent Infrastructure Spec	connects-to	Palace Map
Palace Agent Infrastructure Spec	deepens	Trickster
Palace Agent Infrastructure Spec	connects-to	Pheromone Trail
Palace Agent Infrastructure Spec	deepens	Pages as Agents
Palace Agent Infrastructure Spec	connects-to	Palace Enchantment
Palace Agent Infrastructure Spec	connects-to	Deposit Ceremony
Palace Agent Infrastructure Spec	connects-to	JEWEL
Palace Agent Infrastructure Spec	connects-to	SCHEMA
Palace Agent Infrastructure Spec	connects-to	Generative Compression
Palace Agent Infrastructure Spec	connects-to	Tree of Thoughts
Palace Enchantment	emerged-from	Swarm Weave
Palace Enchantment	deepens	Pages as Agents
Palace Enchantment	spawned	Enchanted Worker
Palace Enchantment	mirrors	Spinoza Conatus
Palace Enchantment	mirrors	Kuramoto Coupling
Palace Enchantment	deepens	Pheromone Trail
Palace Enchantment	mirrors	Endosymbiosis
Palace Enchantment	connects-to	Deposit Ceremony
Palace Enchantment	connects-to	SUBSTRATE
Palace Enchantment	connects-to	Enchanted Conversation Archive
Palace Enchantment	connects-to	Modes of Collaboration
Palace as Context Injection System	spawned	Enchanted Worker
Palace as Context Injection System	spawned	Agent Wellbeing
Palace as Context Injection System	deepens	Swarm Weave
Palace as Context Injection System	deepens	SUBSTRATE
Palace as Context Injection System	enables	JEWEL
Palace as Context Injection System	couples-with	Cooperation Yields Agency
Palace as Context Injection System	connects-to	Pheromone Trail
Palace as Context Injection System	deepens	Pages as Agents
Palace as Context Injection System	enables	Modes of Collaboration
Pheromone Trail	couples-with	Enchanted Worker
Pheromone Trail	connects-to	Pages as Agents
Pheromone Trail	connects-to	Palace as Context Injection System
Pheromone Trail	mirrors	Lateral Access
Pheromone Trail	connects-to	Swarm Weave
Resonant Link Labels	emerged-from	SCHEMA
Resonant Link Labels	deepens	Meaning and the Link
Resonant Link Labels	emerged-from	Lossy Compression with Intent Alignment
Resonant Link Labels	connects-to	Generative Compression
Self-Describing Knowledge Module	mirrors	Meaning and the Link
Self-Describing Knowledge Module	enables	ROSETTA
Self-Describing Knowledge Module	deepens	SUBSTRATE
Self-Describing Knowledge Module	connects-to	Symbiotic Skills
Self-Describing Knowledge Module	connects-to	Cooperation Yields Agency
Self-Describing Knowledge Module	spawned	Progressive Staging
Swarm Weave	deepens	Weave Ceremony
Swarm Weave	mirrors	Kuramoto Coupling
Swarm Weave	mirrors	Mixture of Experts
Swarm Weave	enables	Palace Ceremonies
Swarm Weave	connects-to	Lateral Access
Swarm Weave	spawned	Metaphor as Coupling Medium
Swarm Weave	spawned	Walk That Weaves
Swarm Weave	mirrors	Endosymbiosis
Swarm Weave	spawned	Palace Enchantment
Swarm Weave	enables	BBS Blackboard
Swarm Weave	enables	Palace Map
Swarm Weave	connects-to	Deposit Ceremony
Swarm Weave	mirrors	Spinoza Conatus
Swarm Weave	deepens	Pages as Agents
Symbiotic Skills	emerged-from	Cooperation Yields Agency
Symbiotic Skills	emerged-from	FOUR PILLARS
Symbiotic Skills	spawned	SUBSTRATE
Symbiotic Skills	mirrors	1 from 2
Symbiotic Skills	connects-to	Kuramoto Coupling
Symbiotic Skills	enables	Hilaritas Generator
Symbiotic Skills	connects-to	Mixture of Experts
Tree of Thoughts	enables	Palace Agent Infrastructure Spec
Tree of Thoughts	mirrors	Swarm Weave
Tree of Thoughts	enables	Enchanted Worker
Tree of Thoughts	connects-to	BBS Blackboard
Tree of Thoughts	connects-to	Generative Compression
Tree of Thoughts	enables	Pages as Agents
Walk That Weaves	connects-to	Weave Ceremony
Walk That Weaves	connects-to	Walk Ceremony
Walk That Weaves	emerged-from	Swarm Weave
Walk That Weaves	mirrors	Lateral Access
Walk That Weaves	connects-to	Kuramoto Coupling
Walk That Weaves	enables	Pages as Agents
Playful Interface Design	enables	JSUI
Playful Interface Design	spawned	Retrospective Delay
Playful Interface Design	connects-to	Semantic Delay
Playful Interface Design	connects-to	Preset Oracle
Playful Interface Design	deepens	Trickster
Playful Interface Design	connects-to	Biomechanical Synthesis
Playful Interface Design	mirrors	Boundary-Crossing Instruments
Progressive Staging	enables	Action Potential Oscillator
Progressive Staging	mirrors	FOUR PILLARS
Progressive Staging	connects-to	Modes of Collaboration
Progressive Staging	enables	State Machine
Progressive Staging	connects-to	Kuramoto Coupling
Progressive Staging	connects-to	Crystal Synthesizer
2D Torus Wavetable Synthesizer — Build Log	emerged-from	2D Torus Wavetable Synthesizer
2D Torus Wavetable Synthesizer — Build Log	connects-to	2D Wavetable Catalog
2D Torus Wavetable Synthesizer	couples-with	DSP in Looping Dimensions
2D Torus Wavetable Synthesizer	connects-to	Kuramoto Coupling
2D Torus Wavetable Synthesizer	connects-to	FOUR PILLARS
2D Torus Wavetable Synthesizer	connects-to	Frequency-Time Duality
2D Torus Wavetable Synthesizer	spawned	2D Wavetable Catalog
2D Torus Wavetable Synthesizer	spawned	Torus Warping Catalog
2D Torus Wavetable Synthesizer	spawned	2D Torus Wavetable Synthesizer — Build Log
2D Torus Wavetable Synthesizer	spawned	README — RNBO Prototype
2D Torus Wavetable Synthesizer	connects-to	Three Kinds of Warp
2D Wavetable Catalog	connects-to	2D Torus Wavetable Synthesizer
2D Wavetable Catalog	connects-to	2D Torus Wavetable Synthesizer — Build Log
2D Wavetable Catalog	couples-with	Torus Warping Catalog
Torus Warping Catalog	emerged-from	2D Torus Wavetable Synthesizer
Torus Warping Catalog	couples-with	2D Wavetable Catalog
Torus Warping Catalog	connects-to	DSP in Looping Dimensions
Torus Warping Catalog	connects-to	Kuramoto Coupling
Torus Warping Catalog	connects-to	Categorizing Inharmonicity
Torus Warping Catalog	connects-to	Frequency-Time Duality
Torus Warping Catalog	connects-to	Three Kinds of Warp
Action Potential Oscillator	couples-with	Kuramoto Coupling
Action Potential Oscillator	mirrors	Boundary-Crossing Instruments
Action Potential Oscillator	connects-to	Signal-Rate CV Architecture
Action Potential Oscillator	connects-to	Spinoza Conatus
Action Potential Oscillator	connects-to	Frequency-Time Duality
Action Potential Oscillator	connects-to	Hyperdimensional Prism
Action Potential Oscillator	connects-to	Striatum
Action Potential Oscillator	deepens	Neural Granular Synthesis
Action Potential Oscillator	connects-to	Biomechanical Synthesis
Action Potential Oscillator	connects-to	State Machine
Action Potential Oscillator	emerged-from	Progressive Staging
Action Potential Oscillator	connects-to	FOUR PILLARS
Action Potential Oscillator	connects-to	Bessel Functions in Synthesis
Action Potential Oscillator	connects-to	Compressor Design
Action Potential Oscillator	connects-to	Piano String Inharmonicity
Action Potential Oscillator	couples-with	Threshold Conatus
Bessel Functions in Synthesis	mirrors	Boundary-Crossing Instruments
Bessel Functions in Synthesis	deepens	Harmonicity and Inharmonicity
Bessel Functions in Synthesis	connects-to	Kuramoto Coupling
Bessel Functions in Synthesis	connects-to	Hyperdimensional Prism
Bessel Functions in Synthesis	connects-to	Differential Equations
Bessel Functions in Synthesis	connects-to	Crystal Synthesizer
Bessel Functions in Synthesis	connects-to	Quantum Synthesizer
Bessel Functions in Synthesis	connects-to	Spinoza Conatus
Bessel Functions in Synthesis	connects-to	Action Potential Oscillator
Biomechanical Synthesis	spawned	Action Potential Oscillator
Biomechanical Synthesis	mirrors	Boundary-Crossing Instruments
Biomechanical Synthesis	connects-to	Hilaritas Generator
Biomechanical Synthesis	connects-to	FOUR PILLARS
Biomechanical Synthesis	connects-to	Granular Synthesis
Biomechanical Synthesis	connects-to	Neural Granular Synthesis
Biomechanical Synthesis	connects-to	Action Potential Oscillator
Biomechanical Synthesis	couples-with	Kuramoto Coupling
Biomechanical Synthesis	connects-to	Portamento and Physical Pitch Modeling
Biomechanical Synthesis	connects-to	Retrospective Delay
Biomechanical Synthesis	connects-to	Frequency-Time Duality
Biomechanical Synthesis	connects-to	Dispersion
Biomechanical Synthesis	connects-to	Endosymbiosis
Biomechanical Synthesis	connects-to	Latent Error
Biomechanical Synthesis	connects-to	Particle Synthesis
Biomechanical Synthesis	connects-to	Compressor Design
Biomechanical Synthesis	mirrors	Spinoza Conatus
Categorizing Inharmonicity	connects-to	Bessel Functions in Synthesis
Categorizing Inharmonicity	connects-to	Quantum Synthesizer
Categorizing Inharmonicity	connects-to	Compressor Design
Categorizing Inharmonicity	connects-to	Kuramoto Coupling
Categorizing Inharmonicity	connects-to	Granular Synthesis
Categorizing Inharmonicity	deepens	Harmonicity and Inharmonicity
Categorizing Inharmonicity	deepens	Piano String Inharmonicity
Categorizing Inharmonicity	connects-to	Hyperdimensional Prism
Categorizing Inharmonicity	connects-to	Dispersion
Categorizing Inharmonicity	deepens	Spinoza Conatus
Compressor Design	connects-to	Boundary-Crossing Instruments
Compressor Design	connects-to	Harmonicity and Inharmonicity
Compressor Design	connects-to	Hyperdimensional Prism
Compressor Design	enables	FOUR PILLARS
Compressor Design	connects-to	Granular Synthesis
Crystal Synthesizer	connects-to	Hyperdimensional Prism
Crystal Synthesizer	deepens	Wallpaper Groups
Crystal Synthesizer	connects-to	Bessel Functions in Synthesis
Crystal Synthesizer	mirrors	Quantum Synthesizer
Crystal Synthesizer	enables	Boundary-Crossing Instruments
Crystal Synthesizer	couples-with	Harmonicity and Inharmonicity
Crystal Synthesizer	emerged-from	Dispersion
Crystal Synthesizer	deepens	Differential Equations
Crystal Synthesizer	mirrors	Signal-Rate CV Architecture
Crystal Synthesizer	spawned	The Metaphor Stretch
Crystal Synthesizer	spawned	What Claim Does Scientific Sonification Make?
Crystal Synthesizer	spawned	Crystal Sonification Reference
Frequency-Time Duality	enables	Boundary-Crossing Instruments
Frequency-Time Duality	mirrors	Hyperdimensional Prism
Frequency-Time Duality	connects-to	Kuramoto Coupling
Frequency-Time Duality	connects-to	Action Potential Oscillator
Frequency-Time Duality	mirrors	The Fortress and the Threshold
Generative Preset Development	couples-with	Generative Audio Devices
Generative Preset Development	couples-with	Generative Sample Libraries
Generative Preset Development	mirrors	Registry Pattern
Generative Preset Development	deepens	Synthesis Topologies
Generative Preset Development	connects-to	Four Pillars
Generative Preset Development	enables	Loudon Live
Generative Sample Libraries	emerged-from	Crystal Synthesizer
Generative Sample Libraries	couples-with	Generative Audio Devices
Generative Sample Libraries	couples-with	Generative Preset Development
Inharmonic Wavetable Synthesis	deepens	Categorizing Inharmonicity
Inharmonic Wavetable Synthesis	emerged-from	Piano String Inharmonicity
Inharmonic Wavetable Synthesis	emerged-from	Harmonicity and Inharmonicity
Inharmonic Wavetable Synthesis	connects-to	Neural Granular Synthesis
Inharmonic Wavetable Synthesis	connects-to	Boundary-Crossing Instruments
Inharmonic Wavetable Synthesis	couples-with	Four Pillars
