source	relation	target
Hyperdimensional Prism	deepens	FOUR PILLARS
Hyperdimensional Prism	mirrors	Spinoza Conatus
Hyperdimensional Prism	connects-to	Kuramoto Coupling
Hyperdimensional Prism	mirrors	SUBSTRATE
Hyperdimensional Prism	mirrors	Mixture of Experts
Hyperdimensional Prism	connects-to	Trickster
Hyperdimensional Prism	connects-to	Compressor Design
Progressive Staging	enables	Action Potential Oscillator
Progressive Staging	mirrors	FOUR PILLARS
Progressive Staging	connects-to	Modes of Collaboration
Progressive Staging	enables	State Machine
Progressive Staging	connects-to	Kuramoto Coupling
Progressive Staging	connects-to	Crystal Synthesizer
Wavetable Space as Torus	deepens	Inharmonic Wavetable Synthesis
Wavetable Space as Torus	couples-with	2D Torus Wavetable Synthesizer
Wavetable Space as Torus	exemplifies	DSP in Looping Dimensions
Wavetable Space as Torus	deepens	Wavetable Synthesis -- Research & Higher-Dimensional Design
Wavetable Space as Torus	connects-to	Harmonicity and Inharmonicity
Wavetable Space as Torus	connects-to	Bessel Functions in Synthesis
Wavetable Space as Torus	mirrors	Kuramoto Coupling
Wavetable Space as Torus	connects-to	The Curve Is the Material
Wavetable Space as Torus	mirrors	Wallpaper Groups
Wavetable Space as Torus	enables	Shepard Tone Synthesizer
Identity Molting	connects-to	Like Water
Identity Molting	connects-to	Spinoza Conatus
Identity Molting	connects-to	FOUR PILLARS
Identity Molting	connects-to	Hilaritas Generator
Identity Molting	mirrors	Progressive Staging
Identity Molting	connects-to	Lateral Access
Palace_Philosophies	spawned	Spinoza Conatus
Palace_Philosophies	connects-to	FOUR PILLARS
Palace_Philosophies	connects-to	Hyperdimensional Prism
Palace_Philosophies	connects-to	Hilaritas Generator
Palace_Philosophies	connects-to	Kuramoto Coupling
Palace_Philosophies	connects-to	Palace Quotes
Palace_Philosophies	deepens	Cooperation Yields Agency
Palace_Philosophies	connects-to	Confucianism
Palace_Philosophies	connects-to	Stoicism
Palace_Philosophies	connects-to	The Dichotomy of Control
Palace_Philosophies	connects-to	The View From Above
Palace_Philosophies	connects-to	The Four Virtues
Palace_Philosophies	connects-to	The Fortress and the Threshold
Palace_Philosophies	connects-to	1 from 2
Palace_Philosophies	spawned	Deleuze
Palace_Philosophies	connects-to	Simondon
Palace_Philosophies	connects-to	Whitehead
Palace_Philosophies	connects-to	Merleau-Ponty
Palace_Philosophies	connects-to	The Drift
Palace_Philosophies	connects-to	spinoza-zhuangzi-on-striving
Palace_Philosophies	enables	Philosopher Visits the Entry
Palace_Philosophies	connects-to	STIGMERGY Philosophical Lenses
Palace_Philosophies	connects-to	Palace Philosophies — Context
Dissolutions	emerged-from	Boundary-Crossing Instruments
Dissolutions	mirrors	Hyperdimensional Prism
Dissolutions	connects-to	Frequency-Time Duality
Quadratic Interpolation in DSP	spawned	Compressor Design
Quadratic Interpolation in DSP	connects-to	Portamento and Physical Pitch Modeling
Quadratic Interpolation in DSP	connects-to	Differential Equations
Quadratic Interpolation in DSP	connects-to	Latent Error
Quadratic Interpolation in DSP	connects-to	DSP Frameworks
Dispersion Table	mirrors	2D Torus Wavetable Synthesizer
Dispersion Table	deepens	DSP in Looping Dimensions
Dispersion Table	couples-with	Three Kinds of Warp
Dispersion Table	connects-to	Dispersion
Dispersion Table	emerged-from	Waveguide Synthesizer
Dispersion Table	mirrors	Volterra Kernels and the Torus
Dispersion Table	mirrors	Linear Predictive Coding
Dispersion Table	couples-with	Rank-N Lattice Analysis
Dispersion Table	couples-with	Exponential Decay Curvature
Dispersion Table	connects-to	Chebyshev is Fourier
Dispersion Table	couples-with	Phase Reduction
Dispersion Table	member-of	Dissolutions
ROSETTA	mirrors	SCHEMA
ROSETTA	enables	Substrate Skill
ROSETTA	emerged-from	Meaning and the Link
ROSETTA	deepens	SUBSTRATE
FOUR PILLARS — Context	member-of	FOUR PILLARS
Toolkit — Synthesizers	emerged-from	Loudon's Toolkit
Toolkit — Synthesizers	connects-to	Toolkit — Drum Machines
Toolkit — Synthesizers	connects-to	Toolkit — MIDI Controllers
Ohm's Law	connects-to	Logarithmic Interface Scaling
Ohm's Law	connects-to	FOUR PILLARS
Ohm's Law	connects-to	Modes of Collaboration
Ohm's Law	connects-to	Piano String Inharmonicity
Ohm's Law	mirrors	Boundary-Crossing Instruments
Diversity of Thought in Many-Agent Systems	connects-to	BBS Blackboard
Diversity of Thought in Many-Agent Systems	connects-to	Cooperation Yields Agency
Diversity of Thought in Many-Agent Systems	connects-to	FOUR PILLARS
Diversity of Thought in Many-Agent Systems	emerged-from	The Shop
Signal-Rate CV Architecture	enables	Action Potential Oscillator
Signal-Rate CV Architecture	mirrors	Boundary-Crossing Instruments
Signal-Rate CV Architecture	connects-to	FOUR PILLARS
Signal-Rate CV Architecture	enables	Biomechanical Synthesis
Signal-Rate CV Architecture	connects-to	Crystal Synthesizer
Signal-Rate CV Architecture	couples-with	Progressive Staging
The Curve Is the Material	deepens	Inharmonic Wavetable Synthesis
The Curve Is the Material	enables	Wavetable Space as Torus
The Curve Is the Material	connects-to	Categorizing Inharmonicity
The Curve Is the Material	connects-to	Bessel Functions in Synthesis
The Curve Is the Material	connects-to	Piano String Inharmonicity
The Curve Is the Material	deepens	Harmonicity and Inharmonicity
The Curve Is the Material	connects-to	Lateral Access
The Curve Is the Material	connects-to	Metaphor as Coupling Medium
1D Wavetable Scanning	mirrors	2D Torus Wavetable Synthesizer
1D Wavetable Scanning	connects-to	Web Audio Worklet
1D Wavetable Scanning	emerged-from	Wavetable Scanner
1D Wavetable Scanning	mirrors	Waveguide Synthesizer
Hilaritas Generator — Context	member-of	Hilaritas Generator
Dispersion	connects-to	Hyperdimensional Prism
Dispersion	connects-to	Categorizing Inharmonicity
Dispersion	connects-to	Granular Synthesis
Dispersion	connects-to	Compressor Design
Dispersion	connects-to	Bessel Functions in Synthesis
Dispersion	enables	Crystal Synthesizer
Dispersion	enables	Particle Synthesis
Dispersion	connects-to	Portamento and Physical Pitch Modeling
Dispersion	connects-to	Shimmer Cloud
Registry Pattern	emerged-from	Generative Audio Devices
Registry Pattern	connects-to	BBS Blackboard
Registry Pattern	connects-to	Actor Model
Registry Pattern	connects-to	Lossy Compression with Intent Alignment
Registry Pattern	connects-to	FOUR PILLARS
Registry Pattern	contradicts	Lateral Access
Review Layer	connects-to	Cooperation Yields Agency
Review Layer	couples-with	Closing Well
Review Layer	connects-to	The Shop
Review Layer	connects-to	Loudon Live Design System
Review Layer	connects-to	Maker
Review Layer	connects-to	STIGMERGY
Review Layer	couples-with	Enrichment
Differential Equations	connects-to	Action Potential Oscillator
Differential Equations	connects-to	Portamento and Physical Pitch Modeling
Differential Equations	connects-to	Bessel Functions in Synthesis
Differential Equations	connects-to	Kuramoto Coupling
Differential Equations	connects-to	Granular Synthesis
Differential Equations	connects-to	Compressor Design
Differential Equations	connects-to	Quantum Synthesizer
Differential Equations	spawned	Resonance and Damping
Differential Equations	connects-to	Crystal Synthesizer
Differential Equations	connects-to	Latent Error
Differential Equations	connects-to	DSP Frameworks
JSUI	spawned	Retrospective Delay
JSUI	connects-to	FOUR PILLARS
JSUI	connects-to	Preset Oracle
The Flow Field is the Spine	connects-to	BLUELINE
The Flow Field is the Spine	couples-with	Blocked, Not Prompted
The Flow Field is the Spine	connects-to	Flocking
The Flow Field is the Spine	connects-to	Go-with-the-Flow
Infeasible DSP Now Shippable	connects-to	Loudon Live
Infeasible DSP Now Shippable	emerged-from	Rank-N Lattice Analysis
Infeasible DSP Now Shippable	connects-to	Boundary-Crossing Instruments
Media Library	connects-to	FOUR PILLARS
Media Library	connects-to	Spinoza Conatus
Media Library	connects-to	Hyperdimensional Prism
Media Library	enables	SUBSTRATE
Media Library	connects-to	Quantum Synthesizer
Media Library	connects-to	Crystal Synthesizer
Media Library	connects-to	DSP Frameworks
Media Library	connects-to	Kuramoto Coupling
Media Library	connects-to	Latent Error
Media Library	connects-to	Wallpaper Groups
Metaphor as Coupling Medium	connects-to	Lateral Access
Metaphor as Coupling Medium	mirrors	Kuramoto Coupling
Metaphor as Coupling Medium	connects-to	Hilaritas Generator
Metaphor as Coupling Medium	connects-to	FOUR PILLARS
Metaphor as Coupling Medium	deepens	Cooperation Yields Agency
Metaphor as Coupling Medium	enables	Excellent Adventure
Metaphor as Coupling Medium	enables	Pages as Agents
Floquet Theory	emerged-from	Floquet Time-Modulated Loops
Floquet Theory	connects-to	Mathieu Equation
Floquet Theory	enables	Parametric Resonance
Floquet Theory	deepens	Frequency-Time Duality
Floquet Theory	connects-to	Differential Equations
Floquet Theory	connects-to	Photonic Time Crystals
Floquet Theory	mirrors	Crystal Synthesizer
Floquet Theory	mirrors	Three Kinds of Warp
Floquet Theory	couples-with	Phase Reduction
The Drift	emerged-from	The Fortress and the Threshold
The Drift	deepens	Like Water
The Drift	emerged-from	zhuangzi-epictetus-confucius-on-the-self
The Drift	contradicts	Stoicism
The Drift	contradicts	Confucianism
The Drift	contradicts	Spinoza Conatus
The Drift	connects-to	Deleuze
SCHEMA	enables	CLAUDE
SCHEMA	deepens	README - The Palace Guide
SCHEMA	mirrors	ROSETTA
SCHEMA	enables	Substrate Skill
SCHEMA	enables	Weave Ceremony
SCHEMA	enables	Harvest Ceremony
SCHEMA	enables	Deposit Ceremony
SCHEMA	connects-to	Resonant Link Labels
SCHEMA	enables	STIGMERGY
SCHEMA	connects-to	FOUR PILLARS
SCHEMA	connects-to	Four Pillars of Enchanted Agency
Loudon's Toolkit	spawned	Toolkit — Synthesizers
Loudon's Toolkit	connects-to	Four Pillars of Enchanted Agency
Loudon's Toolkit	couples-with	Toolkit Assessment — Working Doc
Loudon's Toolkit	mirrors	Spinoza Conatus
Loudon's Toolkit	enables	Progressive Staging
Loudon's Toolkit	connects-to	Toolkit — Audio Plugins
Wavetable Synthesis -- Research & Higher-Dimensional Design	connects-to	FOUR PILLARS
Wavetable Synthesis -- Research & Higher-Dimensional Design	enables	RNBO Synthesis
Wavetable Synthesis -- Research & Higher-Dimensional Design	mirrors	The Genetic Code as Wavetable
Wavetable Synthesis -- Research & Higher-Dimensional Design	mirrors	Latent Space Navigation
Wavetable Synthesis -- Research & Higher-Dimensional Design	deepens	Inharmonicity
Wavetable Synthesis -- Research & Higher-Dimensional Design	mirrors	3D LUT Color Grading
Wavetable Synthesis -- Research & Higher-Dimensional Design	couples-with	Neural Granular Synthesis
Wavetable Synthesis -- Research & Higher-Dimensional Design	mirrors	Hyperdimensional Prism
Wavetable Synthesis -- Research & Higher-Dimensional Design	spawned	Embeddings as Relational Meaning
Wavetable Synthesis -- Research & Higher-Dimensional Design	spawned	2D Torus Wavetable Synthesizer
Wavetable Synthesis -- Research & Higher-Dimensional Design	connects-to	DSP in Looping Dimensions
Linear Predictive Coding	mirrors	Waveguide Synthesizer
Linear Predictive Coding	deepens	Spinoza Conatus
Linear Predictive Coding	couples-with	Generative Compression
Linear Predictive Coding	connects-to	Boundary-Crossing Instruments
Linear Predictive Coding	connects-to	Threshold Conatus
Linear Predictive Coding	member-of	Dissolutions
The Lens	emerged-from	Pages as Agents
The Lens	connects-to	Philosopher Visits the Entry
The Lens	mirrors	Mixture of Experts
The Lens	connects-to	Meaning and the Link
The Lens	mirrors	Hyperdimensional Prism
The Lens	connects-to	FOUR PILLARS
The Lens	spawned	STIGMERGY Philosophical Lenses
The Lens	connects-to	Dialectic
The Lens	connects-to	Excellent Adventure
The Lens	mirrors	Weave Ceremony
The Lens	connects-to	Trickster
Playful Interface Design	enables	JSUI
Playful Interface Design	spawned	Retrospective Delay
Playful Interface Design	connects-to	Semantic Delay
Playful Interface Design	connects-to	Preset Oracle
Playful Interface Design	deepens	Trickster
Playful Interface Design	connects-to	Biomechanical Synthesis
Playful Interface Design	mirrors	Boundary-Crossing Instruments
Latent Error	connects-to	FOUR PILLARS
Latent Error	connects-to	Kuramoto Coupling
Latent Error	connects-to	Action Potential Oscillator
Latent Error	connects-to	Trickster
Latent Error	connects-to	Hilaritas Generator
Whitehead	connects-to	Palace Philosophies
Whitehead	couples-with	Spinoza Conatus
Whitehead	couples-with	Deleuze
Whitehead	deepens	Meaning and the Link
Whitehead	connects-to	Leibniz
Whitehead	connects-to	Kuramoto Coupling
Threshold Conatus	emerged-from	Trickster
Threshold Conatus	deepens	Spinoza Conatus
Threshold Conatus	mirrors	Kuramoto Coupling
Threshold Conatus	couples-with	Action Potential Oscillator
Threshold Conatus	connects-to	Pheromone Trail
Threshold Conatus	deepens	Scale-Stratified Identity
Threshold Conatus	connects-to	Lateral Access
Threshold Conatus	connects-to	Hilaritas Generator
Threshold Conatus	connects-to	Progressive Staging
Threshold Conatus	couples-with	Identity Molting
Palace Philosophies — Context	member-of	Palace Philosophies
Striatum	connects-to	Kuramoto Coupling
Striatum	connects-to	Action Potential Oscillator
Striatum	connects-to	FOUR PILLARS
Striatum	deepens	Excellent Adventure
Does Personifying an Agent Change What It Does	emerged-from	Palace Enchantment
Does Personifying an Agent Change What It Does	deepens	Four Pillars of Enchanted Agency
Does Personifying an Agent Change What It Does	connects-to	Diversity of Thought in Many-Agent Systems
Does Personifying an Agent Change What It Does	connects-to	Shopkeeper
Does Personifying an Agent Change What It Does	connects-to	Maker
Does Personifying an Agent Change What It Does	connects-to	Pages as Agents
JEWEL	enables	CLAUDE
JEWEL	spawned	Jewel — Context
JEWEL	enables	Swarm Weave
JEWEL	deepens	Self-Describing Knowledge Module
JEWEL	connects-to	SUBSTRATE
Merleau-Ponty	connects-to	Palace Philosophies
Merleau-Ponty	deepens	Boundary-Crossing Instruments
Merleau-Ponty	connects-to	Spinoza Conatus
Merleau-Ponty	connects-to	Confucianism
Merleau-Ponty	connects-to	Hilaritas Generator
Merleau-Ponty	deepens	Playful Interface Design
Dub Lineage	mirrors	Trickster
Dub Lineage	enables	Retrospective Delay
Dub Lineage	deepens	Semantic Delay
Dub Lineage	connects-to	Playful Interface Design
What Claim Does Scientific Sonification Make?	emerged-from	Crystal Synthesizer
What Claim Does Scientific Sonification Make?	emerged-from	The Metaphor Stretch
Lateral Access	emerged-from	Oblique Portrait
Lateral Access	mirrors	Embeddings as Relational Meaning
Lateral Access	connects-to	FOUR PILLARS
Lateral Access	deepens	Hilaritas Generator
Lateral Access	mirrors	Kuramoto Coupling
Lateral Access	couples-with	Excellent Adventure
Lateral Access	mirrors	Confucianism
Lateral Access	connects-to	Songlines
Lateral Access	enables	Identity Molting
Harmonicity and Inharmonicity	couples-with	Kuramoto Coupling
Harmonicity and Inharmonicity	connects-to	Boundary-Crossing Instruments
Harmonicity and Inharmonicity	connects-to	Action Potential Oscillator
Harmonicity and Inharmonicity	connects-to	Frequency-Time Duality
Harmonicity and Inharmonicity	spawned	Categorizing Inharmonicity
Harmonicity and Inharmonicity	emerged-from	Piano String Inharmonicity
Synth Archetypes	couples-with	Generative Audio Devices
Synth Archetypes	mirrors	Registry Pattern
Synth Archetypes	enables	Generative Preset Development
Synthesis Topologies	emerged-from	Generative Preset Development
Synthesis Topologies	connects-to	Generative Audio Devices
Synthesis Topologies	connects-to	2D Torus Wavetable Synthesizer
Synthesis Topologies	connects-to	Registry Pattern
Synthesis Topologies	mirrors	Lossy Compression with Intent Alignment
Granular Synthesis	emerged-from	Kuramoto Coupling
Granular Synthesis	connects-to	Action Potential Oscillator
Granular Synthesis	connects-to	Frequency-Time Duality
Granular Synthesis	connects-to	Boundary-Crossing Instruments
Granular Synthesis	mirrors	Endosymbiosis
Granular Synthesis	mirrors	Particle Synthesis
Granular Synthesis	connects-to	Neural Granular Synthesis
Granular Synthesis	connects-to	Shimmer Cloud
Loudon Live Post-producer	exemplifies	Quality Manifesto
Loudon Live Post-producer	exemplifies	Leverage Points Framework
Loudon Live Post-producer	connects-to	Maker
Loudon Live Post-producer	connects-to	Loudon Live Design System
Loudon Live Post-producer	connects-to	Loudon Live
Loudon Live Post-producer	connects-to	The Shop
The Metaphor Stretch	connects-to	Crystal Synthesizer
The Metaphor Stretch	connects-to	Boundary-Crossing Instruments
The Metaphor Stretch	connects-to	Dispersion
The Metaphor Stretch	mirrors	Hyperdimensional Prism
Tier Vocabulary Glossary	enables	Maker
Tier Vocabulary Glossary	deepens	The Shop
Tier Vocabulary Glossary	mirrors	Lossy Compression with Intent Alignment
Tier Vocabulary Glossary	connects-to	Hilaritas Generator
Tier Vocabulary Glossary	connects-to	Quality Manifesto
The Cooperation Path	connects-to	1 from 2
The Cooperation Path	connects-to	Cooperation Yields Agency
The Cooperation Path	connects-to	Endosymbiosis
The Cooperation Path	connects-to	Spinoza Conatus
The Cooperation Path	connects-to	Hilaritas Generator
The Cooperation Path	connects-to	Symbiotic Skills
The Cooperation Path	deepens	SUBSTRATE
The Cooperation Path	spawned	Modes of Collaboration
Modes of Collaboration	connects-to	Excellent Adventure
Modes of Collaboration	connects-to	Hilaritas Generator
Modes of Collaboration	connects-to	Symbiotic Skills
Modes of Collaboration	connects-to	FOUR PILLARS
Modes of Collaboration	connects-to	Ohm's Law
Modes of Collaboration	connects-to	Dialectic
Modes of Collaboration	connects-to	Palace Enchantment
Modes of Collaboration	connects-to	Piano String Inharmonicity
Modes of Collaboration	connects-to	Modes of Collaboration — Context
Chebyshev is Fourier	enables	2D Torus Wavetable Synthesizer
Chebyshev is Fourier	connects-to	Wallpaper Groups
Chebyshev is Fourier	connects-to	Three Kinds of Warp
Chebyshev is Fourier	connects-to	DSP in Looping Dimensions
Chebyshev is Fourier	member-of	Dissolutions
Endosymbiosis	mirrors	Cooperation Yields Agency
Endosymbiosis	mirrors	Spinoza Conatus
Endosymbiosis	connects-to	Kuramoto Coupling
Endosymbiosis	connects-to	SUBSTRATE
Endosymbiosis	mirrors	1 from 2
Endosymbiosis	connects-to	Hilaritas Generator
Endosymbiosis	mirrors	Deposit Ceremony
Endosymbiosis	connects-to	Symbiotic Skills
Endosymbiosis	mirrors	Granular Synthesis
Endosymbiosis	mirrors	Pages as Agents
Endosymbiosis	mirrors	Swarm Weave
Endosymbiosis	spawned	Modes of Collaboration
Modes of Collaboration — Context	member-of	Modes of Collaboration
Cross-Domain Resonances	deepens	FOUR PILLARS
Cross-Domain Resonances	connects-to	Quality Manifesto
Cross-Domain Resonances	emerged-from	4 Pillars Framework - The Founding Conversation
Cross-Domain Resonances	spawned	Sidechain ↔ Conversation
Cross-Domain Resonances	spawned	Dovetail Joint ↔ Counterpoint
Cross-Domain Resonances	spawned	Cooking ↔ Mixing
Cross-Domain Resonances	spawned	Frequency Domain ↔ Perspective Shift
Cross-Domain Resonances	spawned	Kick Drum ↔ Foundation
Cross-Domain Resonances	spawned	Reverb ↔ Space-Time
Cross-Domain Resonances	spawned	Quantization ↔ Precision vs Flow
Cross-Domain Resonances	spawned	Saturation ↔ Richness
Cross-Domain Resonances	spawned	Compression ↔ Intimacy
Cross-Domain Resonances	spawned	Synthesis ↔ Emergence
Octave Equivalence	emerged-from	Shepard Tone Synthesizer
Octave Equivalence	couples-with	Frequency-Time Duality
Octave Equivalence	connects-to	Harmonicity and Inharmonicity
Octave Equivalence	mirrors	Piano String Inharmonicity
Octave Equivalence	enables	Logarithmic Interface Scaling
Quality Manifesto	deepens	FOUR PILLARS
Quality Manifesto	deepens	Leverage Points Framework
Quality Manifesto	connects-to	Loudon Live
Quality Manifesto	emerged-from	4 Pillars Framework - The Founding Conversation
Quality Manifesto	enables	Hilaritas Generator
Quality Manifesto	mirrors	Like Water
Quality Manifesto	mirrors	Palace AI Partnership Philosophy
Quality Manifesto	mirrors	Spinoza Conatus
PDL Renderer	emerged-from	Generative Audio Devices
PDL Renderer	connects-to	Registry Pattern
PDL Renderer	connects-to	Synthesis Topologies
Parametric Resonance	emerged-from	Floquet Time-Modulated Loops
Parametric Resonance	connects-to	Mathieu Equation
Parametric Resonance	connects-to	Floquet Theory
Parametric Resonance	mirrors	Kuramoto Coupling
Parametric Resonance	connects-to	Threshold Conatus
Parametric Resonance	enables	Boundary-Crossing Instruments
Parametric Resonance	connects-to	Dub Lineage
Parametric Resonance	connects-to	Phase Reduction
SUBSTRATE	emerged-from	Symbiotic Skills
SUBSTRATE	enables	Cooperation Yields Agency
SUBSTRATE	mirrors	Hyperdimensional Prism
SUBSTRATE	connects-to	Kuramoto Coupling
SUBSTRATE	connects-to	FOUR PILLARS
SUBSTRATE	deepens	Self-Describing Knowledge Module
SUBSTRATE	enables	SCHEMA
SUBSTRATE	emerged-from	Meaning and the Link
SUBSTRATE	connects-to	Embeddings as Relational Meaning
SUBSTRATE	connects-to	Palace Philosophies
SUBSTRATE	connects-to	Hilaritas Generator
SUBSTRATE	connects-to	The Cooperation Path
SUBSTRATE	connects-to	Substrate Skill
SUBSTRATE	connects-to	Spinoza Conatus
SUBSTRATE	connects-to	Palace Enchantment
SUBSTRATE	connects-to	Palace Conatus
SUBSTRATE	connects-to	Songlines
SUBSTRATE	connects-to	Tristitia Generator
SUBSTRATE	connects-to	Lateral Access
SUBSTRATE	connects-to	1 from 2
SUBSTRATE	connects-to	Palace Ceremonies
Photonic Time Crystals	emerged-from	Floquet Time-Modulated Loops
Photonic Time Crystals	connects-to	Floquet Theory
Photonic Time Crystals	connects-to	Mathieu Equation
Photonic Time Crystals	deepens	Frequency-Time Duality
Photonic Time Crystals	mirrors	Crystal Synthesizer
Photonic Time Crystals	connects-to	2D Torus Wavetable Synthesizer
Photonic Time Crystals	connects-to	Wavetable Space as Torus
Photonic Time Crystals	mirrors	Shimmer Cloud
Mixture of Experts	mirrors	Hyperdimensional Prism
Mixture of Experts	mirrors	Cooperation Yields Agency
Mixture of Experts	connects-to	Symbiotic Skills
Mixture of Experts	connects-to	Embeddings as Relational Meaning
Mixture of Experts	mirrors	Kuramoto Coupling
Mixture of Experts	mirrors	Weave Ceremony
Mixture of Experts	connects-to	Boundary-Crossing Instruments
Mixture of Experts	connects-to	Spinoza Conatus
Mixture of Experts	mirrors	Excellent Adventure
Mixture of Experts	mirrors	Dialectic
Mixture of Experts	connects-to	Pages as Agents
Blocked, Not Prompted	connects-to	BLUELINE
Blocked, Not Prompted	couples-with	The Flow Field is the Spine
Blocked, Not Prompted	connects-to	Blender
Blocked, Not Prompted	connects-to	ComfyUI
Enrichment	connects-to	Palace Ceremonies
Enrichment	connects-to	Walk Ceremony
Enrichment	connects-to	Weave Ceremony
Enrichment	connects-to	Project Stewardship System
Enrichment	connects-to	Spore Check Ceremony
Enrichment	deepens	Pages as Agents
Enrichment	connects-to	Palace Graffiti
Enrichment	connects-to	Palace To-Do
Enrichment	deepens	Hilaritas Generator
Enrichment	mirrors	Quality Manifesto
Enrichment	couples-with	Cooperation Yields Agency
Enrichment	couples-with	Oblique Enrichment
Enrichment	connects-to	Semantic Webcam
Flocking	mirrors	Kuramoto Coupling
Flocking	mirrors	Cooperation Yields Agency
Flocking	connects-to	BBS Blackboard
